image_name,class_id,confidence_score,x_min,y_min,x_max,y_max
VAIPE_P_32_33.jpg,107,0.9553720000000001,2260,749,2663,1669
VAIPE_P_32_33.jpg,25,0.801818,2255,749,2659,1666
VAIPE_P_32_33.jpg,107,0.800732,2262,755,2656,1657
VAIPE_P_36_0.jpg,4,0.974804,1521,1120,2220,1765
VAIPE_P_36_0.jpg,107,0.8027960000000001,1510,1142,2224,1751
VAIPE_P_36_0.jpg,107,0.80167,1510,1142,2224,1751
VAIPE_P_36_0.jpg,107,0.801304,1539,1143,2224,1759
VAIPE_P_36_0.jpg,107,0.8004880000000001,1539,1125,2207,1759
VAIPE_P_36_0.jpg,107,0.800474,1525,1118,2213,1759
VAIPE_P_36_0.jpg,107,0.80045,1539,1125,2207,1759
VAIPE_P_36_0.jpg,107,0.8003800000000001,1533,1129,2209,1755
VAIPE_P_36_0.jpg,107,0.8002020000000001,1521,1120,2220,1765
VAIPE_P_145_5.jpg,89,0.979492,2163,1410,2863,1858
VAIPE_P_145_5.jpg,43,0.9786140000000001,1377,567,1783,1433
VAIPE_P_145_5.jpg,43,0.977442,914,1772,1732,2317
VAIPE_P_145_5.jpg,89,0.973632,2319,1798,3015,2231
VAIPE_P_145_5.jpg,28,0.9415040000000001,2135,1116,2448,1422
VAIPE_P_145_5.jpg,28,0.917578,1739,927,2044,1231
VAIPE_P_145_5.jpg,107,0.837696,1738,926,2046,1232
VAIPE_P_145_5.jpg,7,0.824708,2135,1119,2456,1415
VAIPE_P_145_5.jpg,107,0.8210080000000001,2135,1121,2452,1413
VAIPE_P_145_5.jpg,7,0.81059,1732,926,2044,1234
VAIPE_P_145_5.jpg,107,0.8091,1738,926,2046,1232
VAIPE_P_145_5.jpg,107,0.8086420000000001,2135,1119,2456,1415
VAIPE_P_145_5.jpg,107,0.802678,1729,895,2056,1251
VAIPE_P_145_5.jpg,107,0.8015220000000001,2133,1115,2450,1429
VAIPE_P_145_5.jpg,107,0.80149,1733,926,2044,1234
VAIPE_P_145_5.jpg,107,0.8012760000000001,2135,1121,2452,1413
VAIPE_P_145_5.jpg,107,0.8012520000000001,1738,926,2046,1232
VAIPE_P_145_5.jpg,89,0.80112,1733,926,2044,1234
VAIPE_P_145_5.jpg,107,0.800836,2138,1115,2454,1406
VAIPE_P_145_5.jpg,89,0.80071,2135,1121,2452,1413
VAIPE_P_145_5.jpg,107,0.800698,2140,1115,2452,1406
VAIPE_P_145_5.jpg,107,0.8006420000000001,1738,926,2046,1232
VAIPE_P_145_5.jpg,107,0.800598,1731,927,2052,1231
VAIPE_P_145_5.jpg,43,0.8005540000000001,1735,928,2048,1233
VAIPE_P_145_5.jpg,107,0.800548,1734,919,2065,1248
VAIPE_P_145_5.jpg,89,0.8005220000000001,2240,1563,2960,2015
VAIPE_P_145_5.jpg,107,0.80049,1735,928,2048,1233
VAIPE_P_145_5.jpg,107,0.800424,2135,1116,2448,1422
VAIPE_P_145_5.jpg,107,0.8002400000000001,2138,1115,2454,1406
VAIPE_P_145_4.jpg,89,0.982032,1839,1258,2477,1610
VAIPE_P_145_4.jpg,43,0.9775400000000001,757,967,1551,1290
VAIPE_P_145_4.jpg,43,0.9751960000000001,1809,726,2573,1055
VAIPE_P_145_4.jpg,89,0.9697260000000001,1116,1410,1776,1765
VAIPE_P_145_4.jpg,7,0.9081060000000001,1374,748,1664,1023
