filename,drugname,match,score
VAIPE_P_TRAIN_547.png,ingaron 200 dst 200 mg,ingaron 200 dst 200mg,100
VAIPE_P_TRAIN_547.png,panactol soomg,panactol 500mg,77
VAIPE_P_TRAIN_547.png,vipredni 16 mg 16mg,vipredni 16mg 16mg,100
VAIPE_P_TRAIN_547.png,dixirein,dixirein 375mg,76
VAIPE_P_TRAIN_316.png,"hapenxin capsules 0,5g","hapenxin capsules 0,5g",100
VAIPE_P_TRAIN_316.png,panactol soomg,panactol 500mg,77
VAIPE_P_TRAIN_1146.png,"hapenxin capsules 0,5g","hapenxin capsules 0,5g",100
VAIPE_P_TRAIN_1146.png,clorpheniramin 4mg,clorpheniramin 4mg,100
VAIPE_P_TRAIN_993.png,amcardia-5 smg,amcardia-5 5mg,92
VAIPE_P_TRAIN_969.png,"novoxim-s00 0,5g","novoxim-500 0,5g",93
VAIPE_P_TRAIN_969.png,metronidazol 2somg,metronidazol 250mg,88
VAIPE_P_TRAIN_969.png,venrutine ioomg +soomg,venrutine 100mg +500mg,70
VAIPE_P_TRAIN_622.png,"novoxim-s00 0,5g","novoxim-500 0,5g",93
VAIPE_P_TRAIN_622.png,bromhexin actavis 8mg 8mg,bromhexin actavis 8mg 8mg,100
VAIPE_P_TRAIN_622.png,clorpheniramin amg,clorpheniramin 4mg,94
VAIPE_P_TRAIN_293.png,enalapri smg,enalapril 5mg,87
VAIPE_P_TRAIN_293.png,hoạt huyét dưỡng não 15omg+2omg,hoạt huyết dưỡng não 150mg+20mg,90
VAIPE_P_TRAIN_174.png,metformin 500 soomg,metformin 500 500mg,82
VAIPE_P_TRAIN_174.png,diamicron mr tab 6omg 30's 6omg,diamicron mr tab 60mg 30's 60mg,92
VAIPE_P_TRAIN_343.png,glucofast 850,glucofast 850 850mg,83
VAIPE_P_TRAIN_343.png,diamicron mr tab 6omg 30's 6omg,diamicron mr tab 60mg 30's 60mg,92
VAIPE_P_TRAIN_114.png,metformin (metformin 500) 5oomg,metformin (metformin 500) 500mg,93
VAIPE_P_TRAIN_114.png,gliclazid (golddicron) 3omg,gliclazid (golddicron) 30mg,96
VAIPE_P_TRAIN_114.png,"đinh lăng, bạch quả (hoạt huyết dưỡng não) 150mg+2omg","đinh lăng, bạch quả (hoạt huyết dưỡng não) 150mg+20mg",98
VAIPE_P_TRAIN_405.png,enalapril smg,enalapril 5mg,92
VAIPE_P_TRAIN_405.png,"gaphyton $ 1oomg+7smg+7,smg","gaphyton s 100mg+75mg+7,5mg",80
VAIPE_P_TRAIN_206.png,glucofast 850 850mg,glucofast 850 850mg,100
VAIPE_P_TRAIN_206.png,lazibet mr 60 60mg,lazibet mr 60 60mg,100
VAIPE_P_TRAIN_206.png,enalapril smg,enalapril 5mg,92
VAIPE_P_TRAIN_725.png,"cefadroxil 0,5g","cefadroxil 0,5g",100
VAIPE_P_TRAIN_725.png,vipredni 16mg 16mg,vipredni 16mg 16mg,100
VAIPE_P_TRAIN_725.png,famogast 4omg,famogast 40mg,92
VAIPE_P_TRAIN_381.png,enalapri smg,enalapril 5mg,87
VAIPE_P_TRAIN_381.png,inbaci 10,inbacid 10 10mg,76
VAIPE_P_TRAIN_381.png,saviprolol 5 smg,savi prolol 5 5mg,93
VAIPE_P_TRAIN_812.png,amoxicilin (fabamox 500) soomg,amoxicilin (fabamox 500) 500mg,89
VAIPE_P_TRAIN_812.png,paracetamol  (partamol tab.) 5oomg,paracetamol (partamol tab.) 500mg,93
VAIPE_P_TRAIN_1077.png,troysar am smg +somg,troysar am 5mg +50mg,82
VAIPE_P_TRAIN_728.png,metronidazol 250 250 mg,metronidazol 250 250mg,100
VAIPE_P_TRAIN_728.png,dromasmfort 8omg,dromasm fort 80mg,93
VAIPE_P_TRAIN_728.png,ingaron 200 dst 200 mg,ingaron 200 dst 200mg,100
VAIPE_P_TRAIN_598.png,"ebitac 12.5 1omg + 12,5mg","ebitac 12.5 10mg + 12,5mg",95
VAIPE_P_TRAIN_598.png,stacetam 8oomg 8oomg,stacetam 800mg 800mg,78
VAIPE_P_TRAIN_745.png,"cefadroxil 0,5g","cefadroxil 0,5g",100
VAIPE_P_TRAIN_745.png,mypara 500 soomg,mypara 500 500mg,79
VAIPE_P_TRAIN_745.png,menison 16mg 16mg,menison 16mg 16mg,100
VAIPE_P_TRAIN_745.png,bromhexin actavis 8mg 8mg,bromhexin actavis 8mg 8mg,100
VAIPE_P_TRAIN_745.png,setblood 1lsmg+loomg+somcg,setblood 115mg+100mg+50mcg,56
VAIPE_P_TRAIN_552.png,"cefadroxil soomg 0,5g","cefadroxil 0,5g",85
VAIPE_P_TRAIN_552.png,panactol soomg,panactol 500mg,77
VAIPE_P_TRAIN_552.png,dixirein,dixirein 375mg,76
VAIPE_P_TRAIN_552.png,sergurop iomg,sergurop 10mg,83
VAIPE_P_TRAIN_700.png,kavasdin5 5 mg,kavasdin 5 5mg,100
VAIPE_P_TRAIN_700.png,hoat huyét dưong não 1somg; 2omg,hoạt huyết dưỡng não 150mg+20mg,78
VAIPE_P_TRAIN_890.png,"cephalexin pmp 500 0,5g","cephalexin pmp 500 0,5g",100
VAIPE_P_TRAIN_890.png,chorlatcyn 125mg+somg+somg+2smg,chorlatcyn 125mg+50mg+50mg+25mg,88
VAIPE_P_TRAIN_789.png,"cefadroxil soomg 0,5g","cefadroxil 0,5g",85
VAIPE_P_TRAIN_789.png,panactol soomg,panactol 500mg,77
VAIPE_P_TRAIN_789.png,dixirein,dixirein 375mg,76
VAIPE_P_TRAIN_548.png,ingaron 200 dst 200 mg,ingaron 200 dst 200mg,100
VAIPE_P_TRAIN_548.png,panactol soomg,panactol 500mg,77
VAIPE_P_TRAIN_548.png,vipredni 16 mg 16mg,vipredni 16mg 16mg,100
VAIPE_P_TRAIN_548.png,dixirein,dixirein 375mg,76
VAIPE_P_TRAIN_750.png,metformin (meglucon 1000) 1000 mg,metformin (meglucon 1000) 1000 mg,100
VAIPE_P_TRAIN_750.png,atorvastatin (atoris,atorvastatin (atoris 20mg) 20mg,81
VAIPE_P_TRAIN_483.png,amoxicilin soomg soomg,amoxicilin 500mg 500mg,70
VAIPE_P_TRAIN_483.png,metronidazol 250 250 mg,metronidazol 250 250mg,100
VAIPE_P_TRAIN_483.png,prazopro 4omg,prazopro 40mg,92
VAIPE_P_TRAIN_483.png,sergurop iomg,sergurop 10mg,83
VAIPE_P_TRAIN_483.png,chorlatcyn 125mg+somg+somg+2smg,chorlatcyn 125mg+50mg+50mg+25mg,88
VAIPE_P_TRAIN_924.png,metronidazol  (metronidazol 250) 250 mg,metronidazol (metronidazol 250) 250 mg,100
VAIPE_P_TRAIN_924.png,paracetamol  (partamol tab) 5oomg,paracetamol (partamol tab.) 500mg,93
VAIPE_P_TRAIN_684.png,"amoxicillin soomg 0,5g","amoxicillin 500mg 0,5g",85
VAIPE_P_TRAIN_684.png,clorpheniramin 4mg,clorpheniramin 4mg,100
