image_name,class_id,confidence_score,x_min,y_min,x_max,y_max,image_width,image_height
VAIPE_P_32_15.jpg,25,1,943,2345,1644,2847,3024,4032
VAIPE_P_153_0.jpg,10,1,351,599,485,818,960,1280
VAIPE_P_153_0.jpg,10,1,475,608,589,819,960,1280
VAIPE_P_132_0.jpg,43,1,1102,1636,1938,2018,4000,3000
VAIPE_P_132_0.jpg,43,1,711,1920,1218,2747,4000,3000
VAIPE_P_132_0.jpg,91,1,1129,2089,1813,2471,4000,3000
VAIPE_P_85_8.jpg,52,1,401,324,523,512,720,960
VAIPE_P_85_8.jpg,8,1,356,469,465,531,720,960
VAIPE_P_85_8.jpg,52,1,316,533,529,635,720,960
VAIPE_P_22_7.jpg,73,1,767,1784,1284,2116,4000,3000
VAIPE_P_22_7.jpg,89,1,496,2085,1210,2712,4000,3000
VAIPE_P_22_7.jpg,89,1,1186,2066,1851,2694,4000,3000
VAIPE_P_22_7.jpg,27,1,866,2755,1537,3265,4000,3000
VAIPE_P_22_7.jpg,2,1,1124,2384,1804,3119,4000,3000
VAIPE_P_22_7.jpg,2,1,1629,2089,2306,2790,4000,3000
VAIPE_P_22_7.jpg,73,1,1684,2617,2102,2931,4000,3000
VAIPE_P_144_3.jpg,91,1,1092,1507,1632,2251,4032,3024
VAIPE_P_144_3.jpg,104,1,1452,1365,2079,2382,4032,3024
VAIPE_P_144_3.jpg,19,1,1141,2463,1873,3437,4032,3024
VAIPE_P_168_16.jpg,107,1,1512,2036,1824,2369,4032,3024
VAIPE_P_168_16.jpg,23,1,1260,2349,1593,2762,4032,3024
VAIPE_P_168_16.jpg,107,1,1119,1734,1431,2067,4032,3024
VAIPE_P_93_1.jpg,64,1,168,536,248,616,720,960
VAIPE_P_93_1.jpg,64,1,369,468,453,554,720,960
VAIPE_P_93_1.jpg,22,1,332,629,394,704,720,960
VAIPE_P_159_19.jpg,29,1,1452,2822,1815,3084,3024,4032
VAIPE_P_159_19.jpg,91,1,1300,1845,1623,2420,3024,4032
VAIPE_P_159_19.jpg,107,1,1068,2087,1360,2359,3024,4032
VAIPE_P_159_19.jpg,107,1,988,1391,1361,2046,3024,4032
VAIPE_P_161_3.jpg,105,1,192,395,273,572,720,960
VAIPE_P_161_3.jpg,91,1,422,384,503,529,720,960
VAIPE_P_161_3.jpg,26,1,305,621,397,811,720,960
VAIPE_P_160_5.jpg,107,1,1168,2186,1544,2571,3024,4032
VAIPE_P_160_5.jpg,107,1,621,2231,988,2634,3024,4032
VAIPE_P_5_6.jpg,58,1,1009,1891,1747,2375,3024,4032
VAIPE_P_34_5.jpg,107,1,2195,2052,2813,2733,3024,4032
VAIPE_P_34_5.jpg,107,1,1595,1460,2025,2132,3024,4032
VAIPE_P_34_5.jpg,107,1,1452,2401,1990,2992,3024,4032
VAIPE_P_34_5.jpg,107,1,1953,3091,2544,3727,3024,4032
VAIPE_P_34_5.jpg,107,1,753,2912,1255,3584,3024,4032
VAIPE_P_34_5.jpg,107,1,627,1720,1272,2652,3024,4032
VAIPE_P_120_10.jpg,64,1,1079,1239,1691,1809,4624,3468
VAIPE_P_120_10.jpg,64,1,1427,1965,2060,2599,4624,3468
VAIPE_P_32_13.jpg,25,1,1179,1818,1818,2513,3024,4032
VAIPE_P_15_1.jpg,54,1,1161,2140,1688,2642,3024,4032
VAIPE_P_15_1.jpg,37,1,1118,1811,1447,2258,3024,4032
VAIPE_P_73_13.jpg,57,1,1154,2022,1843,2760,3024,4032
VAIPE_P_29_6.jpg,107,1,627,1747,1107,2189,3120,4160
VAIPE_P_29_6.jpg,107,1,1293,3379,1754,3827,3120,4160
VAIPE_P_29_6.jpg,107,1,1331,1344,1664,2131,3120,4160
VAIPE_P_29_6.jpg,107,1,1651,2688,1977,3027,3120,4160
VAIPE_P_29_6.jpg,107,1,787,2579,1325,3085,3120,4160
VAIPE_P_29_6.jpg,107,1,1726,1798,2193,2144,3120,4160
VAIPE_P_39_1.jpg,107,1,755,1893,1358,2346,1920,2560
VAIPE_P_39_1.jpg,107,1,865,1657,1381,1952,1920,2560
VAIPE_P_39_1.jpg,107,1,625,1622,924,1941,1920,2560
VAIPE_P_39_1.jpg,107,1,1110,1456,1398,1747,1920,2560
VAIPE_P_39_1.jpg,107,1,988,1165,1685,1507,1920,2560
VAIPE_P_39_1.jpg,107,1,1177,551,1634,925,1920,2560
VAIPE_P_40_4.jpg,107,1,1458,955,1917,1792,4032,3024
VAIPE_P_40_4.jpg,107,1,1569,1762,2456,2314,4032,3024
VAIPE_P_40_4.jpg,107,1,1296,2320,1954,2748,4032,3024
VAIPE_P_40_4.jpg,107,1,1942,2221,2662,2581,4032,3024
VAIPE_P_161_25.jpg,107,1,918,3015,1377,3710,3024,4032
VAIPE_P_161_25.jpg,105,1,912,2686,1613,3145,3024,4032
VAIPE_P_161_25.jpg,26,1,707,2258,1073,2885,3024,4032
VAIPE_P_71_1.jpg,89,1,591,2892,1342,3280,4000,3000
VAIPE_P_49_14.jpg,10,1,1973,1098,2693,2066,4032,3024
VAIPE_P_49_14.jpg,10,1,1104,906,1867,1936,4032,3024
VAIPE_P_49_14.jpg,104,1,1396,1135,2227,2252,4032,3024
VAIPE_P_49_14.jpg,91,1,1706,1985,2531,2568,4032,3024
VAIPE_P_149_2.jpg,37,1,1284,1284,1489,1693,4032,3024
VAIPE_P_149_2.jpg,37,1,1390,2016,1694,2450,4032,3024
VAIPE_P_149_2.jpg,79,1,1600,1979,2115,2618,4032,3024
VAIPE_P_5_8.jpg,58,1,1226,2015,1648,2784,3024,4032
VAIPE_P_16_4.jpg,14,1,1541,1774,2025,2186,3024,4032
VAIPE_P_16_4.jpg,92,1,851,1640,1631,2222,3024,4032
VAIPE_P_155_25.jpg,43,1,627,3089,1235,3784,3024,4032
VAIPE_P_155_25.jpg,107,1,1191,2779,1631,3182,3024,4032
VAIPE_P_155_25.jpg,89,1,1110,2301,1457,2946,3024,4032
VAIPE_P_155_25.jpg,43,1,720,1973,1390,2662,3024,4032
VAIPE_P_59_10.jpg,6,1,2725,845,3388,1505,4128,3096
VAIPE_P_159_17.jpg,107,1,786,1925,1008,2157,3024,4032
VAIPE_P_159_17.jpg,29,1,1633,2782,1935,3165,3024,4032
VAIPE_P_159_17.jpg,107,1,827,1532,1229,2046,3024,4032
VAIPE_P_159_17.jpg,91,1,958,1361,1341,1774,3024,4032
VAIPE_P_163_10.jpg,107,1,1129,1811,1818,2065,3024,4032
VAIPE_P_163_10.jpg,107,1,1638,2692,2054,3325,3024,4032
VAIPE_P_163_10.jpg,91,1,1203,2084,1693,2524,3024,4032
VAIPE_P_163_10.jpg,91,1,1687,1942,2270,2302,3024,4032
VAIPE_P_163_10.jpg,2,1,645,2041,1222,2407,3024,4032
VAIPE_P_163_10.jpg,2,1,1607,1489,2153,1998,3024,4032
VAIPE_P_163_10.jpg,75,1,565,2295,894,2549,3024,4032
VAIPE_P_163_10.jpg,75,1,949,2339,1259,2631,3024,4032
VAIPE_P_69_1.jpg,10,1,2390,2113,2960,3023,4128,3096
VAIPE_P_69_1.jpg,10,1,1607,489,2134,1293,4128,3096
VAIPE_P_69_1.jpg,48,1,2680,610,3150,1334,4128,3096
VAIPE_P_112_0.jpg,104,1,273,1439,1092,1979,4032,3024
VAIPE_P_112_0.jpg,59,1,651,2829,1036,3176,4032,3024
VAIPE_P_112_0.jpg,59,1,1061,2059,1384,2369,4032,3024
VAIPE_P_112_0.jpg,73,1,782,2506,1216,2810,4032,3024
VAIPE_P_112_0.jpg,73,1,707,2239,1135,2537,4032,3024
VAIPE_P_112_0.jpg,89,1,1266,1662,1865,2173,4032,3024
VAIPE_P_112_0.jpg,19,1,1607,440,2116,1060,4032,3024
VAIPE_P_112_0.jpg,19,1,2103,968,2872,1458,4032,3024
VAIPE_P_145_2.jpg,7,1,2204,1280,2551,1618,4000,3000
VAIPE_P_145_2.jpg,7,1,2320,542,2667,871,4000,3000
VAIPE_P_145_2.jpg,89,1,1013,1022,1449,1760,4000,3000
VAIPE_P_145_2.jpg,89,1,1307,791,1725,1555,4000,3000
VAIPE_P_145_2.jpg,43,1,560,578,969,1494,4000,3000
VAIPE_P_145_2.jpg,43,1,1665,800,2108,1727,4000,3000
VAIPE_P_158_11.jpg,43,1,794,2531,1160,3449,3024,4032
VAIPE_P_158_11.jpg,43,1,1712,1172,2475,1947,3024,4032
VAIPE_P_158_11.jpg,89,1,1123,2320,1601,3095,3024,4032
VAIPE_P_158_11.jpg,89,1,720,3343,1371,4013,3024,4032
VAIPE_P_158_11.jpg,7,1,1408,1948,1755,2295,3024,4032
VAIPE_P_158_11.jpg,7,1,1892,1861,2221,2177,3024,4032
VAIPE_P_158_11.jpg,107,1,1110,2903,1377,3365,3024,4032
VAIPE_P_164_16.jpg,107,1,1079,2760,1581,3560,3024,4032
VAIPE_P_164_16.jpg,73,1,1576,2320,1930,2835,3024,4032
VAIPE_P_164_16.jpg,73,1,1334,1755,1663,2171,3024,4032
VAIPE_P_164_16.jpg,107,1,1141,1985,1668,2655,3024,4032
VAIPE_P_164_16.jpg,104,1,713,1886,1371,2692,3024,4032
VAIPE_P_164_16.jpg,89,1,862,1315,1563,1929,3024,4032
VAIPE_P_159_12.jpg,29,1,431,561,482,657,720,960
VAIPE_P_159_12.jpg,26,1,247,506,326,672,720,960
VAIPE_P_159_12.jpg,91,1,139,514,229,661,720,960
VAIPE_P_159_12.jpg,84,1,337,553,410,634,720,960
VAIPE_P_5_9.jpg,107,1,2428,1765,3181,2607,4032,3024
VAIPE_P_5_9.jpg,107,1,1604,2088,2258,2939,4032,3024
VAIPE_P_5_9.jpg,107,1,2939,860,4023,1640,4032,3024
