image_name,class_id,confidence_score,x_min,y_min,x_max,y_max
VAIPE_P_20_1.jpg,107,0.46265,1965,889,2806,1674
VAIPE_P_20_1.jpg,107,0.45801,1435,1791,2053,2648
VAIPE_P_20_1.jpg,107,0.45728,1663,264,2127,763
VAIPE_P_20_1.jpg,107,0.45264,518,737,1194,1373
VAIPE_P_32_33.jpg,107,0.46387,2232,733,2682,1684
VAIPE_P_34_4.jpg,107,0.45312,1709,1811,2890,2646
VAIPE_P_34_4.jpg,107,0.43848,1545,1009,2419,1798
VAIPE_P_34_4.jpg,107,0.42871,569,1457,1287,2142
VAIPE_P_34_4.jpg,107,0.42139,1279,129,1829,741
VAIPE_P_35_1.jpg,107,0.44189,1246,1730,1906,2428
VAIPE_P_35_1.jpg,107,0.44043,1091,799,1742,1464
VAIPE_P_35_1.jpg,107,0.42822,2016,1856,2730,2642
VAIPE_P_35_1.jpg,107,0.40723,1976,224,2728,844
VAIPE_P_36_0.jpg,107,0.42139,1525,1128,2211,1751
VAIPE_P_145_5.jpg,107,0.47119,2308,1797,3004,2242
VAIPE_P_145_5.jpg,107,0.46655,1378,568,1791,1428
VAIPE_P_145_5.jpg,107,0.46655,2167,1415,2858,1860
VAIPE_P_145_5.jpg,107,0.45532,918,1772,1732,2325
VAIPE_P_145_5.jpg,107,0.44873,2138,1118,2450,1416
VAIPE_P_145_5.jpg,107,0.448,1743,924,2041,1228
VAIPE_P_145_4.jpg,107,0.46558,1100,1410,1781,1763
VAIPE_P_145_4.jpg,107,0.46362,1829,1260,2488,1606
VAIPE_P_145_4.jpg,107,0.46021,732,969,1566,1290
VAIPE_P_145_4.jpg,107,0.44604,1371,736,1667,1026
VAIPE_P_145_4.jpg,107,0.4436,1567,990,1848,1271
VAIPE_P_145_4.jpg,107,0.44312,1788,716,2592,1061
VAIPE_P_145_3.jpg,107,0.47119,2265,1400,3077,2023
VAIPE_P_145_3.jpg,107,0.46729,1269,985,1938,1913
VAIPE_P_145_3.jpg,107,0.46387,1598,753,2179,1689
VAIPE_P_145_3.jpg,107,0.46265,2242,979,3104,1435
VAIPE_P_145_3.jpg,107,0.45508,2250,1964,2642,2342
VAIPE_P_145_3.jpg,107,0.45459,1581,2066,1977,2448
VAIPE_P_145_2.jpg,107,0.46997,1655,785,2119,1713
VAIPE_P_145_2.jpg,107,0.46045,551,585,977,1519
VAIPE_P_145_2.jpg,107,0.45459,1006,1027,1450,1769
VAIPE_P_145_2.jpg,107,0.45239,1298,776,1735,1560
VAIPE_P_145_2.jpg,107,0.43628,2188,1259,2558,1626
VAIPE_P_145_2.jpg,107,0.43408,2308,523,2692,901
VAIPE_P_145_1.jpg,107,0.46411,1207,1456,2047,1894
VAIPE_P_145_1.jpg,107,0.45703,1734,552,2413,1303
VAIPE_P_145_1.jpg,107,0.45459,1997,1609,2300,1905
VAIPE_P_145_1.jpg,107,0.45312,1283,781,1658,1488
